code,statut,maturite,commentaire
A.8.10,Non implemente,0,Pas de politique de suppression des donnees
A.8.11,Non implemente,0,Pas de masquage des donnees sensibles
A.8.12,Non implemente,0,Pas de DLP
A.8.13,Implemente,4,Snapshots RDS quotidiens — retention 7 jours — S3 versioning
A.8.14,Implemente,4,Architecture Multi-AZ — redondance native
A.8.15,Implemente,4,CloudTrail multi-region — logs S3 90 jours — CloudWatch
A.8.16,Implemente,4,CloudWatch 4 alarmes — GuardDuty — SNS alertes
A.8.17,Partiel,2,Synchronisation NTP AWS implicite — non explicitement configuree
A.8.18,Partiel,2,SSM Session Manager — pas de politique formelle utilitaires privileges
A.8.19,Non implemente,0,Pas de politique d'installation de logiciels
A.8.20,Implemente,4,VPC Multi-AZ — SG en cascade — NACLs — WAF
A.8.21,Implemente,4,Services reseau AWS securises — WAF sur ALB
A.8.22,Implemente,4,Subnets publics/prives separes — RDS isole
A.8.23,Non implemente,0,Pas de filtrage web sortant depuis EC2
A.8.24,Non implemente,1,Pas de TLS/HTTPS — F1 pentest critique — port 443 ferme
A.8.25,Partiel,2,Securite pensee en conception mais pas de SDLC formel
A.8.26,Partiel,2,WAF couvre OWASP — pas de revue securite formelle du code applicatif
A.8.27,Implemente,3,Architecture defense en profondeur — VPC tiers — documentee
A.8.28,Partiel,2,Requetes parametrees PyMySQL (anti-SQLi) — pas de revue code formelle
A.8.29,Partiel,2,Pentest boite grise realise — pas de SAST/DAST automatise en CI/CD
A.8.30,Non implemente,0,Pas de processus de securite pour le dev externalise
A.8.31,Non implemente,1,Pas de separation env dev/test/prod — deploiement direct en prod
A.8.32,Partiel,2,Terraform versionne sur GitHub — pas de processus de Change Management formel
A.8.33,Non implemente,0,Pas de politique de gestion des donnees de test
A.8.34,Non implemente,0,Pas de procedure de protection du SI pendant audit
